stacja,temperatura,wilgotnosc_wzgledna,cisnienie,data_pobrania,suma_opadu
Kasprowy Wierch,-1.8,84.8,,2025-05-13,
Katowice,15.2,31.6,1019.5,2025-05-13,
Kętrzyn,15.0,36.5,1017.3,2025-05-13,
Kielce,14.2,37.6,1019.0,2025-05-13,
Kłodzko,14.8,36.4,1019.7,2025-05-13,
Koło,16.0,28.9,1018.8,2025-05-13,
Kołobrzeg,12.5,73.7,1020.3,2025-05-13,
Koszalin,15.6,54.6,1019.7,2025-05-13,
Kozienice,15.5,29.6,1018.0,2025-05-13,
Kraków,14.2,31.5,1019.8,2025-05-13,
Krosno,13.9,36.5,1018.3,2025-05-13,
Legnica,16.9,28.5,1020.6,2025-05-13,
Lesko,12.2,41.4,1018.5,2025-05-13,
Leszno,17.1,30.5,1019.8,2025-05-13,
Lębork,16.2,53.6,1018.0,2025-05-13,
Lublin,14.0,38.4,1017.5,2025-05-13,
Łeba,13.9,65.4,1018.4,2025-05-13,
Łódź,15.2,31.6,1018.7,2025-05-13,
Mikołajki,14.3,36.6,1017.4,2025-05-13,
Mława,14.7,26.7,1017.9,2025-05-13,
Nowy Sącz,13.6,33.5,1019.4,2025-05-13,
Olsztyn,14.1,35.5,1017.8,2025-05-13,
Opole,16.3,23.7,1019.2,2025-05-13,
Ostrołęka,15.4,29.6,1017.3,2025-05-13,
Piła,17.5,38.5,1019.3,2025-05-13,
Platforma,,,,2025-05-13,
Płock,15.2,29.5,1018.4,2025-05-13,
Poznań,18.0,29.4,1019.3,2025-05-13,
Przemyśl,14.2,38.2,1017.7,2025-05-13,
Racibórz,15.0,31.5,1019.6,2025-05-13,
Resko,17.5,46.6,1020.0,2025-05-13,
Rzeszów,15.0,34.4,1017.8,2025-05-13,
Sandomierz,14.4,36.6,1018.4,2025-05-13,
Siedlce,14.5,35.6,1017.4,2025-05-13,
Słubice,17.7,28.5,1020.7,2025-05-13,
Sulejów,14.1,39.6,1018.8,2025-05-13,
Suwałki,14.2,34.5,1016.2,2025-05-13,
Szczecin,17.1,45.5,1020.6,2025-05-13,
Szczecinek,16.8,45.4,1019.0,2025-05-13,
Śnieżka,2.7,64.9,,2025-05-13,
Świnoujście,16.0,59.4,1020.9,2025-05-13,
Tarnów,13.7,40.6,1019.0,2025-05-13,
Terespol,15.7,35.6,1016.2,2025-05-13,
Toruń,17.0,36.5,1018.7,2025-05-13,
Ustka,12.6,73.8,1019.1,2025-05-13,
Warszawa,15.6,25.5,1018.2,2025-05-13,
Wieluń,15.7,30.5,1019.3,2025-05-13,
Włodawa,14.8,37.5,1016.7,2025-05-13,
Wrocław,17.0,29.6,1019.8,2025-05-13,
Zakopane,8.1,45.8,,2025-05-13,
Zamość,14.9,44.6,1017.3,2025-05-13,
Zielona Góra,16.9,27.4,1020.0,2025-05-13,
Białystok,17.1,53.4,1005.2,2025-05-14,
Bielsko Biała,17.6,35.3,1012.5,2025-05-14,
Chojnice,17.4,54.6,1009.1,2025-05-14,
Częstochowa,18.4,33.3,1011.0,2025-05-14,
Elbląg,8.9,94.7,1008.3,2025-05-14,
Gdańsk,10.4,80.9,1009.4,2025-05-14,
Gorzów,20.3,35.3,1011.1,2025-05-14,
Hel,9.4,89.0,1009.7,2025-05-14,
Jelenia Góra,19.0,31.4,1012.5,2025-05-14,
Kalisz,19.1,46.3,1009.9,2025-05-14,
Kasprowy Wierch,2.3,79.8,,2025-05-14,
Katowice,19.4,30.4,1011.6,2025-05-14,
Kętrzyn,13.6,82.9,1005.8,2025-05-14,
Kielce,16.0,60.6,1010.5,2025-05-14,
Kłodzko,18.7,36.4,1012.7,2025-05-14,
Koło,19.3,39.8,1008.7,2025-05-14,
Kołobrzeg,11.7,85.6,1012.4,2025-05-14,
Koszalin,11.2,82.7,1011.6,2025-05-14,
Kozienice,16.7,59.5,1008.7,2025-05-14,
Kraków,18.1,38.4,1012.1,2025-05-14,
Krosno,13.9,55.7,1013.2,2025-05-14,
Legnica,20.6,33.4,1012.6,2025-05-14,
Lesko,12.1,65.5,1013.8,2025-05-14,
Leszno,21.0,37.3,1010.9,2025-05-14,
Lębork,10.7,76.6,1010.5,2025-05-14,
Lublin,10.2,92.2,1010.0,2025-05-14,
Łeba,8.9,71.6,1011.4,2025-05-14,
Łódź,19.4,38.4,1008.9,2025-05-14,
Mikołajki,12.1,83.9,1006.3,2025-05-14,
Mława,17.7,50.3,1006.6,2025-05-14,
Nowy Sącz,18.0,42.3,1012.2,2025-05-14,
Olsztyn,14.7,71.6,1006.6,2025-05-14,
Opole,20.6,27.4,1011.7,2025-05-14,
Ostrołęka,17.7,46.6,1006.0,2025-05-14,
Piła,19.5,42.4,1009.7,2025-05-14,
Platforma,,,,2025-05-14,
Płock,18.4,43.3,1007.3,2025-05-14,
Poznań,21.3,27.3,1010.0,2025-05-14,
Przemyśl,15.1,56.7,1011.8,2025-05-14,
Racibórz,20.1,32.4,1012.0,2025-05-14,
Resko,15.3,66.5,1011.8,2025-05-14,
Rzeszów,16.4,54.4,1011.7,2025-05-14,
Sandomierz,17.6,51.3,1009.9,2025-05-14,
Siedlce,17.3,53.4,1006.9,2025-05-14,
Słubice,21.0,29.3,1011.8,2025-05-14,
Sulejów,18.0,42.3,1009.6,2025-05-14,
Suwałki,12.6,88.6,1004.6,2025-05-14,
Szczecin,18.7,55.3,1011.7,2025-05-14,
Szczecinek,16.3,59.0,1010.3,2025-05-14,
Śnieżka,6.9,51.6,,2025-05-14,
Świnoujście,15.5,73.7,1012.4,2025-05-14,
Tarnów,17.5,49.6,1011.6,2025-05-14,
Terespol,15.7,61.4,1007.8,2025-05-14,
Toruń,19.9,44.3,1008.0,2025-05-14,
Ustka,9.3,86.0,1011.6,2025-05-14,
Warszawa,20.2,38.4,1007.2,2025-05-14,
Wieluń,19.4,33.4,1010.6,2025-05-14,
Włodawa,15.4,63.4,1008.7,2025-05-14,
Wrocław,21.7,32.3,1011.4,2025-05-14,
Zakopane,14.3,41.3,,2025-05-14,
Zamość,13.0,80.7,1010.9,2025-05-14,
Zielona Góra,20.1,36.3,1011.2,2025-05-14,
Białystok,9.6,53.5,1006.6,2025-05-15,
Bielsko Biała,6.8,62.5,1012.4,2025-05-15,
Chojnice,5.1,85.6,1011.8,2025-05-15,
Częstochowa,9.4,47.5,1010.9,2025-05-15,
Elbląg,5.5,82.0,1009.7,2025-05-15,
Gdańsk,7.6,81.7,1010.5,2025-05-15,
Gorzów,9.1,78.0,1013.2,2025-05-15,
Hel,7.6,94.0,1010.5,2025-05-15,
Jelenia Góra,6.3,78.7,1014.1,2025-05-15,
Kalisz,9.1,70.6,1011.0,2025-05-15,
Kasprowy Wierch,-5.3,97.7,,2025-05-15,
Katowice,9.5,49.7,1011.5,2025-05-15,
Kętrzyn,10.6,57.7,1007.3,2025-05-15,
Kielce,9.1,46.7,1009.7,2025-05-15,
Kłodzko,10.3,43.7,1012.4,2025-05-15,
Koło,7.5,77.7,1010.3,2025-05-15,
Kołobrzeg,8.6,83.0,1014.8,2025-05-15,
Koszalin,8.0,74.6,1013.6,2025-05-15,
Kozienice,10.2,45.7,1008.6,2025-05-15,
Kraków,9.5,58.7,1011.4,2025-05-15,
Krosno,5.2,86.8,1010.7,2025-05-15,
Legnica,9.3,70.7,1012.1,2025-05-15,
Lesko,3.5,95.1,1010.8,2025-05-15,
Leszno,8.3,84.1,1012.2,2025-05-15,
Lębork,7.7,69.9,1011.9,2025-05-15,
Lublin,8.5,54.8,1008.3,2025-05-15,
Łeba,9.3,64.9,1012.3,2025-05-15,
Łódź,5.5,79.7,1010.9,2025-05-15,
Mikołajki,8.8,68.6,1007.5,2025-05-15,
Mława,10.4,50.7,1008.2,2025-05-15,
Nowy Sącz,7.0,67.8,1011.1,2025-05-15,
Olsztyn,6.5,77.6,1008.6,2025-05-15,
Opole,10.4,43.8,1011.6,2025-05-15,
Ostrołęka,6.2,83.3,1008.0,2025-05-15,
Piła,7.7,75.6,1012.1,2025-05-15,
Platforma,,,,2025-05-15,
Płock,8.4,73.6,1009.1,2025-05-15,
Poznań,7.2,72.9,1011.8,2025-05-15,
Przemyśl,4.8,91.2,1010.0,2025-05-15,
Racibórz,10.3,52.5,1012.0,2025-05-15,
Resko,7.7,82.9,1013.8,2025-05-15,
Rzeszów,7.9,70.9,1009.8,2025-05-15,
Sandomierz,8.3,59.7,1009.3,2025-05-15,
Siedlce,10.2,51.7,1007.6,2025-05-15,
Słubice,9.4,75.8,1014.6,2025-05-15,
Sulejów,9.9,45.6,1009.7,2025-05-15,
Suwałki,10.9,48.6,1006.1,2025-05-15,
Szczecin,8.3,87.1,1014.7,2025-05-15,
Szczecinek,7.9,79.5,1012.2,2025-05-15,
Śnieżka,-3.7,97.0,,2025-05-15,
Świnoujście,9.4,81.9,1015.7,2025-05-15,
Tarnów,8.5,70.5,1010.4,2025-05-15,
Terespol,10.0,49.5,1007.3,2025-05-15,
Toruń,9.3,71.7,1010.1,2025-05-15,
Ustka,7.9,78.9,1013.0,2025-05-15,
Warszawa,7.9,73.0,1009.3,2025-05-15,
Wieluń,10.2,48.4,1010.6,2025-05-15,
Włodawa,8.9,54.5,1007.7,2025-05-15,
Wrocław,6.6,88.2,1013.2,2025-05-15,
Zakopane,1.6,89.0,,2025-05-15,
Zamość,6.5,83.9,1008.9,2025-05-15,
Zielona Góra,6.1,93.2,1013.6,2025-05-15,
Białystok,6.3,79.8,1004.9,2025-05-16,
Bielsko Biała,11.4,60.4,1011.7,2025-05-16,
Chojnice,9.7,67.8,1010.7,2025-05-16,
Częstochowa,6.7,92.6,1011.1,2025-05-16,
Elbląg,7.6,80.5,1008.6,2025-05-16,
Gdańsk,9.0,72.6,1009.9,2025-05-16,
Gorzów,15.2,42.5,1012.4,2025-05-16,
Hel,9.1,74.7,1010.3,2025-05-16,
Jelenia Góra,7.7,80.5,1013.5,2025-05-16,
Kalisz,6.2,90.0,1011.1,2025-05-16,
Kasprowy Wierch,-3.5,100.0,,2025-05-16,
Katowice,9.2,75.8,1011.0,2025-05-16,
Kętrzyn,7.0,82.8,1006.1,2025-05-16,
Kielce,7.9,82.9,1010.0,2025-05-16,
Kłodzko,9.4,79.6,1013.2,2025-05-16,
Koło,10.8,58.6,1008.6,2025-05-16,
Kołobrzeg,10.3,79.8,1014.2,2025-05-16,
Koszalin,8.1,90.8,1012.9,2025-05-16,
Kozienice,8.6,72.6,1007.8,2025-05-16,
Kraków,12.9,60.8,1010.4,2025-05-16,
Krosno,12.4,48.7,1010.5,2025-05-16,
Legnica,9.9,79.7,1011.4,2025-05-16,
Lesko,10.6,50.7,1011.1,2025-05-16,
Leszno,14.0,47.7,1010.6,2025-05-16,
Lębork,9.1,71.6,1011.1,2025-05-16,
Lublin,7.9,87.0,1008.4,2025-05-16,
Łeba,7.7,88.9,1011.7,2025-05-16,
Łódź,8.2,81.8,1009.0,2025-05-16,
Mikołajki,6.3,86.9,1005.8,2025-05-16,
Mława,5.6,86.8,1007.2,2025-05-16,
Nowy Sącz,11.7,50.6,1011.1,2025-05-16,
Olsztyn,6.7,82.7,1007.1,2025-05-16,
Opole,8.6,79.0,1011.4,2025-05-16,
Ostrołęka,5.6,88.7,1005.4,2025-05-16,
Piła,8.7,90.8,1011.5,2025-05-16,
Platforma,,,,2025-05-16,
Płock,7.2,77.7,1007.9,2025-05-16,
Poznań,9.1,89.0,1011.2,2025-05-16,
Przemyśl,13.4,46.9,1009.9,2025-05-16,
Racibórz,10.3,71.8,1012.1,2025-05-16,
Resko,10.8,68.0,1013.6,2025-05-16,
Rzeszów,12.9,52.4,1009.9,2025-05-16,
Sandomierz,10.8,63.8,1008.7,2025-05-16,
Siedlce,8.3,75.7,1006.1,2025-05-16,
Słubice,15.8,36.4,1012.8,2025-05-16,
Sulejów,6.0,88.1,1009.9,2025-05-16,
Suwałki,6.2,90.7,1005.8,2025-05-16,
Szczecin,13.7,55.7,1014.5,2025-05-16,
Szczecinek,7.9,83.5,1011.8,2025-05-16,
Śnieżka,-0.5,99.3,,2025-05-16,
Świnoujście,13.8,59.7,1015.7,2025-05-16,
Tarnów,11.9,53.7,1010.1,2025-05-16,
Terespol,6.3,91.9,1007.4,2025-05-16,
Toruń,11.3,52.8,1008.9,2025-05-16,
Ustka,8.0,92.7,1012.2,2025-05-16,
Warszawa,7.2,71.8,1007.2,2025-05-16,
Wieluń,8.9,70.6,1010.6,2025-05-16,
Włodawa,9.0,87.1,1008.1,2025-05-16,
Wrocław,11.8,62.7,1010.8,2025-05-16,
Zakopane,7.4,56.5,,2025-05-16,
Zamość,11.4,62.6,1009.1,2025-05-16,
Zielona Góra,12.8,66.5,1011.7,2025-05-16,
Białystok,8.5,73.6,1004.7,2025-05-17,
Bielsko Biała,7.4,92.0,1010.1,2025-05-17,
Chojnice,7.3,87.0,1007.2,2025-05-17,
Częstochowa,9.2,71.7,1007.7,2025-05-17,
Elbląg,5.1,95.2,1006.3,2025-05-17,
Gdańsk,8,87.1,1006.8,2025-05-17,
Gorzów,9.2,78.0,1010.6,2025-05-17,
Hel,9.3,83.0,1007.3,2025-05-17,
Jelenia Góra,7.7,88.9,1010.9,2025-05-17,
Kalisz,11.2,73.5,1007.2,2025-05-17,
Kasprowy Wierch,-2.3,100.0,,2025-05-17,
Katowice,8.3,85.9,1009.2,2025-05-17,
Kętrzyn,7,92.0,1003.5,2025-05-17,
Kielce,9.9,62.7,1007.3,2025-05-17,
Kłodzko,8.6,84.7,1010,2025-05-17,
Koło,7.1,87.6,1006.2,2025-05-17,
Kołobrzeg,8.8,84.7,1011.2,2025-05-17,
Koszalin,8.3,84.7,1009.9,2025-05-17,
Kozienice,10.8,66.6,1005.5,2025-05-17,
Kraków,7.8,90.8,1009.3,2025-05-17,
Krosno,9.5,76.9,1008.6,2025-05-17,
Legnica,8.7,85.9,1009.9,2025-05-17,
Lesko,10.9,63.8,1008,2025-05-17,
Leszno,9.6,73.8,1009.2,2025-05-17,
Lębork,8.2,81.8,1008.1,2025-05-17,
Lublin,9.7,65.4,1006.5,2025-05-17,
Łeba,7.7,90.8,1008.8,2025-05-17,
Łódź,7.1,84.6,1006.7,2025-05-17,
Mikołajki,6.5,88.2,1003.3,2025-05-17,
Mława,6.8,85.7,1003.8,2025-05-17,
Nowy Sącz,12.3,64.6,1007.8,2025-05-17,
Olsztyn,6.4,91.9,1004.3,2025-05-17,
Opole,9.1,81.9,1009.2,2025-05-17,
Ostrołęka,7.8,81.7,1002.5,2025-05-17,
Piła,8,82.9,1008.4,2025-05-17,
Platforma,,,,2025-05-17,
Płock,8.9,79.0,1004.6,2025-05-17,
Poznań,10.3,64.6,1008.1,2025-05-17,
Przemyśl,13,53.9,1007,2025-05-17,
Racibórz,9.8,72.8,1010,2025-05-17,
Resko,7.9,80.6,1010.5,2025-05-17,
Rzeszów,10.5,68.4,1007.8,2025-05-17,
Sandomierz,11.6,59.6,1007.1,2025-05-17,
Siedlce,8.7,87.7,1004.8,2025-05-17,
Słubice,8.6,87.1,1011.2,2025-05-17,
Sulejów,9.8,64.5,1006.3,2025-05-17,
Suwałki,8.4,92.1,1004.6,2025-05-17,
Szczecin,10.3,72.9,1011.7,2025-05-17,
Szczecinek,7.7,84.0,1008.4,2025-05-17,
Śnieżka,0.2,83.8,,2025-05-17,
Świnoujście,10.4,77.6,1012.7,2025-05-17,
Tarnów,10.8,82.6,1007.6,2025-05-17,
Terespol,11.7,52.5,1005.8,2025-05-17,
Toruń,8.2,85.9,1005.7,2025-05-17,
Ustka,8.1,90.1,1009.3,2025-05-17,
Warszawa,8.7,84.7,1004.7,2025-05-17,
Wieluń,6.8,90.1,1008.1,2025-05-17,
Włodawa,11.1,53.5,1006,2025-05-17,
Wrocław,9.2,86.0,1009.5,2025-05-17,
Zakopane,8.1,70.9,,2025-05-17,
Zamość,10.4,70.9,1006.9,2025-05-17,
Zielona Góra,6.9,93.9,1010.3,2025-05-17,
